codice_opera,titolo_opera,descrizione_opera,codice_luogo_istituto
0800686820,I fer dl'amstir,Dipinto su tela tensionata ad un telaio con biette di espansione agli angolari; il telaio è posto all'interno di una cornice doppia con passepartout interno rivestito di tela bianca e vetro di protezione frontale ed un profilo esterno modanato e argentato. La scena mostra un consesso di persone in abiti civili che tengono dietro in corteo funebre ad un carretto trainato da una coppia di giovenche bianche nella stradina che si inerpica a raggiungere un borgo in cima ad una collina,1234
0500638012,"Giovane donna in abito bruno, con collarino di pizzo bianco e nastro rosso","Tela di formato verticale, rappresenta una fanciulla con pizzo e nastro rosso al collo",1469952786491
0500717049,Ritratto di gentiluomo,"Tela di piccole dimensioni, rappresenta il ritratto di una figura maschile, a mezzo busto, posto di tre quarti",1469952786491
0500717120,Ritratto di Gianna,"Tavola di formato verticale, rappresenta il ritratto di una giovane donna",1469952786491
1400079575,"All'acqua Santa, dopo il temporale","Dipinto a olio su cartoncino raffigurante una veduta della campagna romana, colta nella quiete dopo un temporale; nel cielo, infatti, si affrontano nubi maestose e squarci di sereno; sullo sfondo si riconosce la sagoma del Mausoleo di Cecilia Metella sulla via Appia",2c095
1400001122-11,Resurrezione di Cristo,Dipinto,1489147295188
0500717074,Pianta prospettica della città di Belluno,"Tela di formato orizzontale, rappresenta una vista a volo d'uccello della città di Belluno; in alto al centro lo stemma Boldù sorretto da putti; ai lati i due basilischi dello stemma cittadino; in basso a sinistra un putto sta scolpendo un'iscrizione",3ef59d5
1500190885,Madonna del Carmine,Dipinto,5dfd27ce08
0900593220,Paesaggio scozzese,Paesaggio fluviale con alberi e montagne sullo sfondo,9ed8ea96c7e
0500729081,Ciociara,,26ef140d0b25c
0100454512,Adorazione dei Magi,Tela dipinta,b34403d79c17
0800070069,Paesaggio emiliano,"Dipinto raffigurante paesaggio con campi e colline. Al centro è collocato un albero, mentre alla sua destra sale una stradina. Sulla sinistra si intravede un contadino su un carro trascinato da un bue. Sempre sulla sinistra, in lontananza, è collocato un piccolo paese",1477239995289
1201388916,Inverno in Cadore,"Nel dipinto è raffigurato l'interno di una dimora alpina, con al centro un grande camino col fuoco acceso e una pentola in rame fumante appesa. Ai due lati del camino due finestre da cui si vedono paesaggi innevati. In primo piano è un basso muro su due livelli sul quale sono appoggiati numerosi oggetti e alimenti. Al di qua del muro una sedia impagliata",d2122b195
