codice_luogo_istituto,nome_luogo_istituto,codice_istat_luogo
1234,Palazzo della Residenza della Cassa dei Risparmi di Forlì,040012
1469952786491,Palazzo Pellegrini a S. Cecilia,023091
2c095,Villa Praitano,070006
1489147295188,Chiesa di Santa Maria Assunta,070024
3ef59d5,Palazzo Fulcis,025006
5dfd27ce08,Castel Capuano,063049
9ed8ea96c7e,Villa Guinigi,046017
26ef140d0b25c,Palazzo della Ragione,023091
b34403d79c17,Casa Privata,103050
1477239995289,Istituto d'Arte - IsArt,037006
d2122b195,Museo Nazionale di Arti e Tradizioni Popolari,058091
